answer_id,question_id,user_id,display_name,is_accepted,score
73547046,45907034,1703772.0,NuclearPeon,False,0
79407768,42469087,424499.0,Raymond Hettinger,False,0
79407804,79406599,367456.0,hakre,False,0
79407803,25761326,16974218.0,adamency,False,0
79407801,60735903,19652056.0,alex-kar,False,0
79407800,79407120,254643.0,Raghuram,False,0
79407799,33203173,9302766.0,saifazom,False,0
79407797,79407784,28270867.0,Anil,False,0
79407073,69701575,6654963.0,Conor Hinchee,False,0
79407794,79407718,11405787.0,啊鹿Dizzyi,False,0
79407793,79406907,20288521.0,Dou Xu-MSFT,False,0
76203395,76199099,11107541.0,starball,False,0
79407791,2681241,3414124.0,Xtremexploit,False,0
79407790,42222347,22831413.0,Agung Gunawan,False,0
79407617,79407403,4965549.0,Tom,False,0
79407785,79407385,20289064.0,ATHARSH S,False,0
79407735,79389037,10802527.0,K J,False,0
79407783,79407749,3214202.0,sonle,False,1
79407782,70897330,15752999.0,Oren Sayag,False,0
79407780,79386658,264022.0,Cine,False,0
79407775,79406028,24651605.0,Bob Gatto,False,0
79406440,79406129,2422776.0,Mureinik,True,1
79407751,79402348,14697693.0,Bright Ran-MSFT,False,0
79405738,79405535,552759.0,jtahlborn,True,8
72678899,72675084,15261315.0,Chris,False,0
79407770,79407470,768644.0,rzwitserloot,False,0
79407765,79407677,844416.0,MBo,False,1
79407764,79403880,18060648.0,Valerie Wang,False,0
79406796,79406782,16639014.0,firespark,False,-1
79407763,79407747,6152400.0,P.Salmon,False,0
79407762,53764588,25499795.0,Radmir,False,0
79407761,79393949,3877726.0,Blindman67,False,0
79407760,45663874,4573839.0,yu yang Jian,False,0
79407757,79406670,17455524.0,Liyun Zhang - MSFT,False,0
51867900,51867874,2414894.0,SachaDee,True,20
79407750,74221492,29475698.0,bthomps,False,0
79407752,62800892,29358640.0,Atanu Dasgupta,False,0
79407748,79402587,13794178.0,sujoybyte,False,0
79407745,43732270,29475659.0,Arpan Mondal,False,0
70266471,70264426,15261315.0,Chris,False,3
78818127,78312814,16599610.0,astropos,False,0
52410753,44119207,10386767.0,Justin Hallas,False,19
79407740,79407583,10195153.0,danblack,False,1
79407739,79382896,11107541.0,starball,False,1
79407729,75679437,1004209.0,shotor,False,0
79407734,3594091,2260345.0,Mir Gulam Sarwar,False,0
79407733,79405724,29446237.0,dulgnn,False,0
79403052,71514359,24098746.0,Somesh Nayek,False,0
60607438,60507612,2347002.0,CaitlinWeb,False,4
