user_id,display_name,influential
22656,Jon Skeet,1
6309,VonC,1
1144035,Gordon Linoff,1
100297,Martijn Pieters,1
157882,BalusC,1
157247,T.J. Crowder,1
23354,Marc Gravell,1
29407,Darin Dimitrov,1
115145,CommonsWare,1
893,Greg Hewgill,1
19068,Quentin,1
17034,Hans Passant,1
34397,SLaks,1
3732271,akrun,1
95810,Alex Martelli,1
14860,paxdiablo,1
190597,unutbu,1
2901002,jezrael,1
61974,Mark Byers,1
5445,Christian C. Salvad&#243;,1
218196,Felix Kling,1
20862,Ignacio Vazquez-Abrams,1
19563,CB Bailey,1
548225,anubhava,1
1491895,Barmar,1
23283,JaredPar,1
13302,marc_s,1
15168,Jonathan Leffler,1
335858,Sergey Kalinichenko,1
106224,BoltClock,1
139985,Stephen C,1
816620,jfriend00,1
69083,Guffa,1
571407,JB Nizet,1
1048572,Bergi,1
88656,Eric Lippert,1
217408,G&#252;nter Z&#246;chbauer,1
939860,Erwin Brandstetter,1
53114,Gumbo,1
13249,Nick Craver,1
3832970,Wiktor Stribiżew,1
18393,cletus,1
505088,David Heffernan,1
279627,Sven Marnach,1
104349,Daniel Roseman,1
209103,Frank van Puffelen,1
203907,Bozho,1
9951,Bite code,1
65863,Remy Lebeau,1
70604,Pascal Thivent,1
65358,Reed Copsey,1
20860,Bill Karwin,1
9021,nickf,1
1968,Konrad Rudolph,1
1187415,Martin R,1
18936,bobince,1
341994,matt,1
57695,Peter Lawrey,1
12950,tvanfosson,1
1126841,chepner,1
148870,Amber,1
224671,kennytm,1
476,deceze,1
1863229,Tim Biegeleisen,1
3681880,Suragch,1
34509,Johannes Schaub - litb,1
87234,GManNickG,1
367273,NPE,1
1583,Oded,1
119963,Cascabel,1
31671,alex,1
179910,Jerry Coffin,1
16417,Paolo Bergantino,1
1256452,torek,1
596781,Kerrek SB,1
67579,willeM_ Van Onsem,1
771848,alecxe,1
734069,Nicol Bolas,1
922184,Mysticial,1
223092,Mark Longair,1
95592,Matthew Rankin,1
284240,Tim Schmelter,1
263693,Stephen Cleary,1
227665,codaddict,1
73226,Martin Smith,1
187606,Pekka,1
1271826,Rob,1
50079,Jon,1
45375,mklement0,1
479863,mu is too short,1
27535,gbn,1
155423,Shepmaster,1
55159,Quassnoi,1
256196,Bohemian,1
33708,Mehrdad Afshari,1
276052,aioobe,1
1705598,icza,1
3043,Joel Coehoorn,1
4279,jfs,1
182668,Pointy,1
28804,mipadi,1
440558,Some programmer dude,1
1288,Bill the Lizard,1
21234,skaffman,1
4909087,cs95,1
104891,CrazyCoder,1
138475,Pascal MARTIN,1
9530,Adam Rosenfield,1
28169,unwind,1
541136,Aaron Hall,1
704848,EdChum,1
1221571,Eran,1
85371,sehe,1
10661,S.Lott,1
267,Lasse V. Karlsen,1
3962914,Ronak Shah,1
114251,Arun P Johny,1
216074,poke,1
1447675,Nina Scholz,1
7432,Bryan Oakley,1
589924,ikegami,1
77567,rob mayoff,1
560648,Lightness Races in Orbit,1
276101,polygenelubricants,1
139459,Sarfraz,1
895245,Ciro Santilli OurBigBook.com,1
263525,Denys S&#233;guret,1
14343,Ned Batchelder,1
1240268,Andy Hayden,1
501557,templatetypedef,1
3597276,Michael Benjamin,1
9515207,CertainPerformance,1
149392,sepp2k,1
2988,J&#246;rg W Mittag,1
2225682,falsetru,1
143305,Dirk is no longer here,1
908494,abarnert,1
215945,Mark Rajcok,1
413501,Ladislav Mrnka,1
224132,Peter Cordes,1
166749,Fred Foo,1
2016562,Gabriele Mariotti,1
674039,wim,1
171456,Carol Skelly,1
68587,John Kugelman,1
415784,Sarfaraz Nawaz,1
